"","County","Freq","Expected","Residual","Component"
"682","682",0,1.0583,-1.0583,-1.0583
"538","538",0,1.0575,-1.0575,-1.0575
"2589","2589",0,1.0574,-1.0574,-1.0574
"1699","1699",0,1.0556,-1.0556,-1.0556
"2408","2408",0,1.0532,-1.0532,-1.0532
"2656","2656",0,1.0434,-1.0434,-1.0434
"629","629",0,1.0418,-1.0418,-1.0418
"1000","1000",0,1.0406,-1.0406,-1.0406
"2454","2454",0,1.0394,-1.0394,-1.0394
"576","576",6,9.0682,-3.0682,-1.0381
"3040","3040",0,1.0378,-1.0378,-1.0378
"2143","2143",0,1.0377,-1.0377,-1.0377
"2938","2938",1,2.659,-1.659,-1.0351
"827","827",0,1.0348,-1.0348,-1.0348
"2085","2085",1,2.6577,-1.6577,-1.034
"2372","2372",0,1.0316,-1.0316,-1.0316
"578","578",0,1.0257,-1.0257,-1.0257
"3078","3078",1,2.6468,-1.6468,-1.0246
"2699","2699",0,1.0203,-1.0203,-1.0203
"1869","1869",0,1.0202,-1.0202,-1.0202
"2555","2555",5,7.8249,-2.8249,-1.0198
"745","745",0,1.0196,-1.0196,-1.0196
"2254","2254",7,10.2243,-3.2243,-1.0168
"676","676",0,1.0163,-1.0163,-1.0163
"1045","1045",0,1.0161,-1.0161,-1.0161
"691","691",0,1.015,-1.015,-1.015
"921","921",0,1.0101,-1.0101,-1.0101
"2434","2434",0,1.0084,-1.0084,-1.0084
"2741","2741",0,1.0084,-1.0084,-1.0084
"1564","1564",0,1.0052,-1.0052,-1.0052
"243","243",0,1.0047,-1.0047,-1.0047
"1245","1245",0,1.0036,-1.0036,-1.0036
"2307","2307",0,1.0028,-1.0028,-1.0028
"1143","1143",0,1.0027,-1.0027,-1.0027
"485","485",0,1.0016,-1.0016,-1.0016
"2451","2451",0,1.0006,-1.0006,-1.0006
"1302","1302",0,0.9991,-0.9991,-0.9991
"1456","1456",0,0.998,-0.998,-0.998
"1572","1572",0,0.9942,-0.9942,-0.9942
"2818","2818",0,0.9939,-0.9939,-0.9939
"2076","2076",1,2.6098,-1.6098,-0.993
"2906","2906",1,2.6096,-1.6096,-0.9928
"2070","2070",0,0.9927,-0.9927,-0.9927
"463","463",0,0.9916,-0.9916,-0.9916
"1159","1159",1,2.6059,-1.6059,-0.9896
"2366","2366",0,0.9877,-0.9877,-0.9877
"2127","2127",0,0.9863,-0.9863,-0.9863
"2213","2213",13,17.1039,-4.1039,-0.9847
"2608","2608",0,0.983,-0.983,-0.983
"2405","2405",1,2.5969,-1.5969,-0.982
"2721","2721",11,14.8093,-3.8093,-0.9798
"751","751",0,0.9778,-0.9778,-0.9778
"1135","1135",0,0.9773,-0.9773,-0.9773
"2329","2329",3,5.269,-2.269,-0.9771
"74","74",0,0.9753,-0.9753,-0.9753
"409","409",0,0.9751,-0.9751,-0.9751
"2970","2970",2,3.9664,-1.9664,-0.9749
"187","187",27,32.6374,-5.6374,-0.9737
"935","935",0,0.9729,-0.9729,-0.9729
"962","962",0,0.9676,-0.9676,-0.9676
"940","940",2,3.956,-1.956,-0.9671
"1339","1339",0,0.9671,-0.9671,-0.9671
"1414","1414",0,0.9653,-0.9653,-0.9653
"588","588",16,20.4406,-4.4406,-0.9647
"1589","1589",0,0.9633,-0.9633,-0.9633
"2501","2501",0,0.9605,-0.9605,-0.9605
"2358","2358",0,0.9585,-0.9585,-0.9585
"1768","1768",0,0.9554,-0.9554,-0.9554
"549","549",0,0.9548,-0.9548,-0.9548
"11","11",0,0.9542,-0.9542,-0.9542
"1939","1939",1,2.5627,-1.5627,-0.9529
"2988","2988",0,0.9528,-0.9528,-0.9528
"923","923",0,0.9515,-0.9515,-0.9515
"195","195",27,32.5577,-5.5577,-0.9487
"394","394",1,2.5569,-1.5569,-0.948
"2715","2715",1,2.5438,-1.5438,-0.9369
"39","39",1,2.5418,-1.5418,-0.9352
"2594","2594",0,0.9342,-0.9342,-0.9342
"907","907",0,0.9334,-0.9334,-0.9334
"2023","2023",5,7.6734,-2.6734,-0.9314
"107","107",0,0.9304,-0.9304,-0.9304
"523","523",7,10.0524,-3.0524,-0.9269
"2566","2566",0,0.9249,-0.9249,-0.9249
"946","946",9,12.3838,-3.3838,-0.9246
"1601","1601",6,8.8586,-2.8586,-0.9224
"2657","2657",0,0.9193,-0.9193,-0.9193
"2169","2169",0,0.9157,-0.9157,-0.9157
"2304","2304",0,0.9121,-0.9121,-0.9121
"2967","2967",0,0.912,-0.912,-0.912
"385","385",0,0.9116,-0.9116,-0.9116
"98","98",1,2.5111,-1.5111,-0.9093
"732","732",3,5.165,-2.165,-0.9075
"1354","1354",10,13.4992,-3.4992,-0.907
"548","548",0,0.9059,-0.9059,-0.9059
"1615","1615",0,0.9034,-0.9034,-0.9034
"1232","1232",1,2.5022,-1.5022,-0.9018
"663","663",0,0.8995,-0.8995,-0.8995
"189","189",1,2.4989,-1.4989,-0.8991
"1782","1782",1,2.4971,-1.4971,-0.8975
"396","396",1,2.4965,-1.4965,-0.897
"1666","1666",0,0.8958,-0.8958,-0.8958
"613","613",1,2.4948,-1.4948,-0.8957
"455","455",0,0.8954,-0.8954,-0.8954
"2457","2457",0,0.8943,-0.8943,-0.8943
"1234","1234",1,2.4928,-1.4928,-0.894
"1166","1166",8,11.1578,-3.1578,-0.8937
"2231","2231",1,2.4917,-1.4917,-0.893
"170","170",2,3.8544,-1.8544,-0.8922
"2957","2957",12,15.7462,-3.7462,-0.8912
"2397","2397",0,0.8909,-0.8909,-0.8909
"2428","2428",0,0.8905,-0.8905,-0.8905
"2001","2001",1,2.4877,-1.4877,-0.8897
"2528","2528",0,0.8884,-0.8884,-0.8884
"2782","2782",0,0.8873,-0.8873,-0.8873
"1751","1751",2,3.8456,-1.8456,-0.8858
"1888","1888",0,0.8847,-0.8847,-0.8847
"1311","1311",0,0.8844,-0.8844,-0.8844
"2918","2918",2,3.8412,-1.8412,-0.8826
"2395","2395",0,0.8818,-0.8818,-0.8818
"2470","2470",1,2.4761,-1.4761,-0.88
"234","234",5,7.5828,-2.5828,-0.8797
"585","585",2,3.8322,-1.8322,-0.876
"2306","2306",0,0.8756,-0.8756,-0.8756
"569","569",0,0.8694,-0.8694,-0.8694
"2305","2305",1,2.4629,-1.4629,-0.8689
"1550","1550",17,21.297,-4.297,-0.867
"1291","1291",0,0.8667,-0.8667,-0.8667
"1253","1253",1,2.4589,-1.4589,-0.8656
"886","886",0,0.8636,-0.8636,-0.8636
"2442","2442",0,0.8636,-0.8636,-0.8636
"734","734",0,0.8618,-0.8618,-0.8618
"1606","1606",0,0.8617,-0.8617,-0.8617
"1309","1309",1,2.4514,-1.4514,-0.8593
"2980","2980",0,0.8578,-0.8578,-0.8578
"2731","2731",0,0.8549,-0.8549,-0.8549
"392","392",0,0.852,-0.852,-0.852
"709","709",2,3.7986,-1.7986,-0.8516
"1211","1211",3,5.0764,-2.0764,-0.8493
"1602","1602",0,0.8488,-0.8488,-0.8488
"575","575",0,0.8486,-0.8486,-0.8486
"1972","1972",0,0.8484,-0.8484,-0.8484
"2866","2866",0,0.8453,-0.8453,-0.8453
"2351","2351",0,0.8388,-0.8388,-0.8388
"2118","2118",1,2.4266,-1.4266,-0.8387
"2899","2899",0,0.8385,-0.8385,-0.8385
"838","838",2,3.7786,-1.7786,-0.8372
"2248","2248",1,2.4248,-1.4248,-0.8372
"1369","1369",0,0.8368,-0.8368,-0.8368
"1933","1933",0,0.8362,-0.8362,-0.8362
"2895","2895",1,2.4234,-1.4234,-0.836
"373","373",0,0.8348,-0.8348,-0.8348
"2466","2466",0,0.8338,-0.8338,-0.8338
"932","932",0,0.8315,-0.8315,-0.8315
"31","31",0,0.8287,-0.8287,-0.8287
"557","557",1,2.4137,-1.4137,-0.828
"1565","1565",0,0.8273,-0.8273,-0.8273
"1160","1160",2,3.7639,-1.7639,-0.8266
"2676","2676",0,0.8256,-0.8256,-0.8256
"621","621",1,2.4105,-1.4105,-0.8254
"724","724",0,0.8254,-0.8254,-0.8254
