"","Freq","Dim.1","Dim.2","Dim.3","Dim.4","Dim.5","Dim.6","Dim.7","Dim.8","Dim.9","Dim.10","Dim.11","Dim.12","Dim.13","Dim.14","Dim.15","Dim.16","Dim.17","Dim.18","Dim.19","Dim.20","Dim.21","Dim.22","Dim.23","Dim.24","Dim.25","Dim.26","Dim.27","Dim.28","Dim.29","Dim.30"
"Benzie.County.MI",5,-5.55583131388146,0.476415462739067,-2.58634190371072,2.3549538585504,0.0104506653679413,-0.247937161351257,0.637324644874694,-1.48814960509205,-0.274701956623884,-0.149857997071649,0.0174996430424862,0.377758525637581,-1.71504975674672,-0.051313472393957,-1.6116740061764,-1.45563654093796,-0.997675942896367,0.594892345267869,0.660453330159012,0.491460024055114,-0.135672056177556,-0.014096339484079,-0.00776761519428774,0.376811097336395,-0.171847985823235,-0.214106828548405,-0.222675750416428,-0.305625437167839,-0.785171315763743,-0.364562135646536
"Berrien.County.MI",7,-2.29625594947455,2.31455060682564,-2.88033700450508,0.30085778574958,-1.48797341620693,-1.4944688098446,0.642575943624789,-1.09649109547804,0.0266811942630736,-0.82195389411686,1.71575891798439,-1.12056095113326,0.175163409083553,-0.37548433608687,-0.136659131154608,-0.475969190953996,-1.3578611764798,1.20787340140635,0.919301113474776,0.115260873542369,-0.629839386864418,-0.760063622333427,0.179475912727058,0.28676175112107,0.159288741102591,-0.160029145878152,-0.301104465661326,-0.209915731944292,-0.778448137203687,0.827117104899196
"Branch.County.MI",0,-2.75832951137424,-0.73810763416556,-0.916984660532423,0.189738353867746,-3.37260170868261,-0.985840893834835,0.950424033396427,-0.30552059930886,0.369270406502554,0.6884312552298,-0.723216008824037,-0.87902858758286,0.00391251366559452,-0.259505873723837,-0.552832303612515,0.0372488254027294,-0.379567830549916,0.178458452369371,1.02510652800341,0.454204156525648,0.335558237543538,-1.13287929499181,0.589721895391695,-0.465203453898717,0.466184011393834,0.392783892287852,-0.0012810359869864,-0.699150558761639,-1.25468015038737,0.339815594249359
"Calhoun.County.MI",7,-1.68308517173947,1.74783887784114,-3.28017243058273,0.201667540555279,-3.14046495951403,-2.00248778746788,0.541904005736485,-0.586332811110614,-1.04281167953442,-1.03163873329929,1.36548276946152,-1.0625046194728,0.625175519507303,-0.532617534940492,0.833983676931214,-0.203751867359353,-1.41564718883783,0.198910896672145,0.828407321965518,0.420780507219983,0.480943977594898,-0.94758719551333,-0.155830745377298,0.168418484014499,-0.369121977345003,0.21792844251338,0.916094248511972,-0.403605635162717,-0.88299094496501,0.593164049342028
"Cass.County.MI",2,-4.41641013414123,-0.505756325540155,-1.45985230278531,0.943010245286083,-2.62311938919476,-1.08158192352677,1.60749319930232,-1.17016607598865,-0.557754107866121,-0.0600375925913037,0.270893868073602,-0.342936376626155,-0.350104119605775,-0.628179439000857,0.0737851298641104,0.0310079321727338,-0.278316602744439,0.0551157862713002,0.525748577834131,-0.322749015066023,0.245546889275376,-0.539355211544364,0.159442591943867,0.197827089519926,0.0912975107148123,0.116234039124485,0.35405150574293,0.259843086346692,-0.895782702703224,1.51662994682578
"Charlevoix.County.MI",3,-5.95732703412616,0.395333625090828,-2.22181577803094,2.45787888942529,-0.49633846177412,-0.373945469317313,0.730759965363165,-0.894401284718579,-0.122654682065034,0.121320374926758,0.0093019681542024,0.0784892422463742,-1.30456105976331,-0.924656010968801,-0.842328580133094,-1.34624060293514,-1.70521795917536,0.904003683740425,-0.572644039395088,0.0500339251509657,-0.0929475731972263,-0.314423594647588,0.622465558904314,0.978860688401657,0.570500122240008,-1.52692098606516,-0.580407866006382,0.704872121101541,-1.66740822201527,0.217101034454783
"Cheboygan.County.MI",2,-5.4148564202546,-1.41925188062848,-4.1070409212582,0.479527106859379,-0.232802910465063,-1.47306628595387,0.391873837114277,-0.450021631858695,-0.16476640591764,-0.249943734597632,0.0988812469046198,0.466184717572008,-1.28170303799653,-0.0808139725948533,-1.13932527043004,-0.765061303436564,-1.67539980845021,0.346892654906376,0.213072574605346,1.06946027878512,-0.572729424069984,-0.320214180689514,-0.27620031859937,0.809877772121248,0.866495878681452,-0.0239267305695048,0.251910155768019,0.179918824101975,-0.972489018334383,-0.031534230996441
"Chippewa.County.MI",2,-4.27307990092135,1.89074913656768,-4.34015946604316,-0.977049930907253,-2.09395743704534,-2.32002798689033,-0.917710071287655,0.215617543877739,-1.63188429792995,0.915059427212042,-1.24912301298581,-0.144959705071822,1.3686594413188,0.00919859756401951,-3.57220034262038,-0.854988291538838,-1.26887053585227,0.762803901105064,2.55059392694933,0.728594045451911,-0.362807438220197,-0.454250426836193,-0.808006487731131,0.734024620349068,1.04724199855055,0.147565266550916,-0.467686240478407,-0.193938364856716,0.367495493470411,0.825613241466491
"Clare.County.MI",3,-3.19824955088347,-2.6595214145341,-4.72027070422575,0.0362850005751195,-1.79625467685536,-2.10794039145211,0.947489145211446,0.480330693712962,-0.509135418273608,0.788936916988292,-0.0769775998062467,0.809308289491768,-1.67307873349155,0.271489362474475,0.0595356131712077,-0.314261427561307,-1.44018360392492,0.0315932754144842,0.196836219402822,0.655450065751107,0.0505614720425858,-1.12719836660953,-0.697496349077646,0.244146564002026,-0.380783062590166,-0.00390131428929322,0.362562059562316,0.0174614709295897,-1.33261515520008,-0.568161892604087
"Clinton.County.MI",6,-5.04188117414076,4.01061876292898,1.39232677027818,1.91002438313284,-2.07356951926617,1.64091888867031,-0.244950580730676,-1.01296478557434,0.319285090832393,0.0241746845782771,0.20063361872453,0.27028303079689,-0.554581281820706,0.647472294767169,-0.698049270915366,0.374258051094497,-0.797161988930966,-0.851024542466263,0.270701609396016,-0.341043215965672,0.70673429889755,-1.17857758247234,-0.621477609502389,0.407406574586117,0.0390604098671265,0.167127096217409,-0.379299018933221,0.173700577734453,-0.317905128427027,0.211727012377975
